CustomerID,FirstName,LastName,Email,Location
1,Laura,Smith,user1@email.com,Chicago
2,Laura,Brown,user2@email.com,Houston
3,Alex,Jones,user3@email.com,Chicago
4,John,Brown,user4@email.com,Houston
5,John,Johnson,user5@email.com,Miami
6,Alex,Brown,user6@email.com,Chicago
7,Alex,Brown,user7@email.com,New York
8,Laura,Johnson,user8@email.com,Chicago
9,Alex,Williams,user9@email.com,Los Angeles
10,Chris,Smith,user10@email.com,Houston
11,Emily,Williams,user11@email.com,Houston
12,Laura,Smith,user12@email.com,Houston
13,Emily,Williams,user13@email.com,New York
14,Alex,Smith,user14@email.com,Los Angeles
15,Emily,Smith,user15@email.com,Los Angeles
16,Emily,Johnson,user16@email.com,New York
17,Alex,Brown,user17@email.com,New York
18,Alex,Brown,user18@email.com,Miami
19,Chris,Smith,user19@email.com,Chicago
20,Laura,Jones,user20@email.com,Miami
21,Chris,Williams,user21@email.com,Chicago
22,Alex,Jones,user22@email.com,New York
23,Chris,Johnson,user23@email.com,Houston
24,Alex,Jones,user24@email.com,Miami
25,John,Brown,user25@email.com,Chicago
26,Chris,Smith,user26@email.com,Chicago
27,John,Jones,user27@email.com,Los Angeles
28,Alex,Williams,user28@email.com,Houston
29,Chris,Williams,user29@email.com,Los Angeles
30,Alex,Johnson,user30@email.com,Miami
31,Jane,Williams,user31@email.com,Miami
32,Emily,Brown,user32@email.com,Houston
33,Laura,Jones,user33@email.com,Los Angeles
34,John,Smith,user34@email.com,Los Angeles
35,John,Smith,user35@email.com,Houston
36,Laura,Williams,user36@email.com,Houston
37,Alex,Johnson,user37@email.com,Los Angeles
38,Chris,Williams,user38@email.com,Los Angeles
39,Emily,Williams,user39@email.com,New York
40,Laura,Jones,user40@email.com,Houston
41,Laura,Williams,user41@email.com,New York
42,Alex,Jones,user42@email.com,Miami
43,Emily,Smith,user43@email.com,Houston
44,John,Jones,user44@email.com,Miami
45,Chris,Smith,user45@email.com,Houston
46,Emily,Brown,user46@email.com,Houston
47,Alex,Smith,user47@email.com,New York
48,Laura,Brown,user48@email.com,New York
49,Chris,Brown,user49@email.com,Houston
50,Chris,Williams,user50@email.com,New York
51,Laura,Jones,user51@email.com,Los Angeles
52,Laura,Jones,user52@email.com,Miami
53,John,Smith,user53@email.com,New York
54,John,Williams,user54@email.com,Los Angeles
55,Laura,Jones,user55@email.com,Chicago
56,Alex,Williams,user56@email.com,Los Angeles
57,Chris,Jones,user57@email.com,Miami
58,Emily,Jones,user58@email.com,Chicago
